Tara,Rata somajului (% din forta de munca),Educatie (%),ISD pe cap de locuitor (USD),Rata inflatiei (% pe an),PIB pe cap de locuitor (USD)
Angola,14.464,9.954906572,-29.28964577,28.24049489,2665.874448
Albania,10.25,81.99862671,719.4730416,2.215873751,11377.77574
United Arab Emirates,2.133,63.73844511,4153.907322,1.663365102,50273.50605
Argentina,7.876,107.8225741,254.8221573,219.883929,13969.78366
Armenia,13.329,52.77480651,43.36959555,0.269511978,8556.21407
Australia,4.072,104.6483536,1983.712868,3.161614283,64603.98563
Austria,5.439,91.68182373,1487.905023,2.937915743,58268.87877
Azerbaijan,5.594,41.34137834,22.66782844,2.212171889,7283.849908
Burundi,0.902,6.025459766,2.372112445,20.2124925,219.4248309
Belgium,5.488,82.14756012,-3487.570025,3.143491365,56614.56795
Burkina Faso,5.166,10.04196785,3.52222563,4.190817213,981.9926498
Bangladesh,4.68,23.7295608,8.861207608,10.46574828,2593.416117
Bulgaria,4.104,79.85323334,539.6107474,2.44651943,17596.01737
Bahrain,1.102,58.36772419,1701.20892,0.91963546,29653.56827
Bosnia and Herzegovina,10.723,45.50276184,317.2861455,1.692127336,9358.78769
Belarus,3.361,70.11075091,190.1398159,5.785319104,8317.633999
Belize,7,24.80986432,308.0121342,3.28955986,7681.244006
Barbados,7.529,53.5815662,1072.904127,-0.44011294,26544.87073
Brunei Darussalam,5.144,36.41827254,62.80894675,-0.388674165,33153.47389
Botswana,23.138,21.40879085,185.3395022,2.818351317,7695.753194
Canada,6.45,76.25862122,1424.052583,2.381583833,54340.34772
Switzerland,4.11,74.00608826,-10322.4616,1.06234042,103998.1867
Chile,9.056,104.7340622,633.5205511,4.297638916,16709.8894
China,4.571,76.87578431,13.16995772,0.218128938,13303.14815
Cote d'Ivoire,2.288,11.57242721,119.0608905,3.450530281,2727.893522
Cameroon,3.518,16.66142948,31.77047395,4.533313497,1830.008337
"Congo, Rep.",19.694,10.38121033,95.31346553,3.091436309,2482.248995
Cyprus,5.602,99.02168274,-37079.29788,1.800230186,38674.29297
Czechia,2.506,66.72828674,1196.822197,2.435312024,31823.30783
Germany,3.406,78.59474945,569.9363657,2.256498143,56103.73232
Denmark,5.587,81.2308197,3102.025591,1.372200498,71026.48323
Dominican Republic,5.473,57.65094762,391.6760161,3.30223339,10875.66184
Algeria,11.427,54.42834102,26.19743608,4.046114553,5752.990767
Ecuador,4.773,67.8851162,24.14902831,1.547325156,6874.70574
"Egypt, Arab Rep.",7.198,37.57812745,399.679906,28.27058993,3338.473714
Spain,11.394,93.73034668,875.7388561,2.774178265,35326.76831
Estonia,7.828,67.61792755,-2505.147373,3.520560533,31428.35478
Finland,8.26,108.1304092,1555.516734,1.565689062,53149.76719
Fiji,4.307,75.00897523,219.626264,4.511382565,6425.741517
France,7.37,70.4536438,759.3186501,1.999049423,46103.08409
United Kingdom,4.111,80.49877167,-876.0766342,3.271572946,53246.36761
Georgia,11.48,78.26522474,433.2760542,1.10971758,9241.491223
Ghana,3.007,22.09582548,51.28333425,22.84832812,2390.772377
"Gambia, The",6.496,13.47659016,84.18770803,11.56105329,871.3402918
Greece,10.133,165.1134186,647.9760152,2.741490458,24626.14819
Guatemala,2.219,27.29488792,100.4003084,2.869927529,6150.025714
Guyana,10.165,26.43157925,10383.38946,2.903952264,29675.24439
"Hong Kong SAR, China",2.793,120.0897858,15553.55486,1.729721191,54074.69285
Croatia,5.236,81.17752075,1206.69494,2.972004776,24050.43979
Hungary,4.434,56.59244156,-6503.899535,3.703703704,23292.32639
Indonesia,3.3,44.88130349,85.53066488,2.181512736,4925.430488
India,4.202,34.41846597,18.70506851,4.95303551,2694.737809
Iceland,3.107,76.52007294,6984.349131,5.8568385,86040.53099
Israel,3.15,55.8351593,1481.582852,3.074808898,54176.68444
Italy,6.778,75.94965363,456.3615636,0.982373023,40385.3414
Jordan,17.996,35.91840011,141.4927233,1.556596113,4618.095925
Japan,2.563,64.89122009,138.5296192,2.738536816,32487.0778
Kazakhstan,4.794,53.45642044,96.10199222,8.839438975,14154.6325
Kenya,5.434,10.41859625,8.212219164,4.489788542,2132.434521
Cambodia,0.27,21.44374268,249.1466021,0.808042017,2627.879698
"Korea, Rep.",2.604,106.7091675,294.2123027,2.321743286,36238.63991
Lao PDR,1.218,14.88416958,127.2176104,23.13056959,2123.979094
St. Lucia,10.928,15.03964043,997.8241194,-0.110283576,14181.63034
Sri Lanka,4.996,20.74126338,34.73008513,-0.429360049,4515.567873
Lithuania,7.504,77.00641632,1627.336234,0.715735835,29384.01896
Luxembourg,5.935,21.53717041,156550.6127,2.0511327,137781.6817
Latvia,6.72,85.7360611,811.3191676,1.265798858,23409.08452
Morocco,8.943,48.18396175,43.03963266,0.985256592,4153.194336
Moldova,1.434,74.71093787,190.8024228,4.67773516,7576.195894
Mexico,2.711,47.47468185,346.4309751,4.722255885,14185.78122
North Macedonia,13.417,55.0082016,579.2962205,3.48974086,9291.856617
Malta,2.703,80.52500916,74863.73923,1.650794693,43898.57818
Montenegro,14.1,55.17430115,961.3591355,3.336750093,13263.32813
Mongolia,5.424,69.04405975,789.3173208,6.207133015,6750.630116
Mauritius,5.476,45.77711564,546.8676467,3.604522038,11990.77989
Malaysia,3.826,38.50139454,438.5339301,1.834100204,11874.42737
Nicaragua,4.574,30.36351013,195.5281414,4.624738411,2847.539663
Netherlands,3.599,86.59382629,-948.0108404,3.347543042,67520.4219
Norway,3.97,95.05738068,2071.856659,3.145301344,86785.43345
Nepal,10.706,21.29155963,1.918994416,4.685096543,1447.310045
New Zealand,4.869,76.38114166,332.8290601,2.922797823,49205.17921
Pakistan,5.472,10.85641268,10.5981966,12.63253185,1478.77278
Panama,6.518,53.69496371,717.6074495,0.693225551,19161.21885
Philippines,2.153,47.41349962,81.48938046,3.21260487,3984.831539
Poland,2.472,76.87940979,563.6332688,3.784260075,25103.56566
Portugal,6.384,77.6778183,1261.041203,2.416131878,29292.2421
Romania,5.379,55.16828918,375.7709016,5.721405744,20080.20962
Russian Federation,2.527,60.38912354,-66.44551047,8.434864105,14889.01855
Rwanda,11.994,9.411739246,40.18704503,1.770292402,999.6545617
Saudi Arabia,3.896,83.88412957,604.4587201,1.687921124,35121.66287
Senegal,2.992,15.33024009,108.9844678,0.804503299,1773.218299
Singapore,3.182,97.28865469,25168.91279,2.389511236,90674.06663
El Salvador,2.839,32.83470795,145.7640664,0.853782293,5579.659692
Serbia,7.39,73.20600128,848.3438105,4.670529749,13679.2066
Suriname,7.325,4.937850878,-59.19507457,16.22961591,6961.78956
Slovak Republic,5.234,53.41761017,924.0491096,2.757609094,25992.67485
Slovenia,3.357,80.08068848,877.6827698,1.965626564,34301.03187
Sweden,8.528,81.39981842,2989.943845,2.835816582,57117.48774
Thailand,0.693,44.9845744,199.5612638,1.365805408,7346.620221
Timor-Leste,1.603,30.96111082,153.9275485,2.06284153,1331.970513
Tunisia,16.203,38.12194824,61.87137715,7.206616572,4181.137893
Tanzania,2.576,4.018809795,25.05208921,3.056946763,1186.716919
Uruguay,8.401,79.95369035,-1167.913736,4.849143666,23906.5133
Uzbekistan,4.488,56.5174787,78.42530917,9.62825466,3161.700106
Viet Nam,1.431,37.5923642,199.7273212,3.621092739,4717.290287
Samoa,4.551,14.61066388,17.15913062,2.172455305,5392.877619
South Africa,33.168,23.4937688,36.40556863,4.361152465,6267.186814
